book,chapter,verse,issue_type,verse_text,confidence
Job,1,16,length:abnormally_long,అతడు ఇంక మాట లాడుచుండగా మరియొకడు వచ్చిదేవుని అగ్ని ఆకాశమునుండి పడి గొఱ్ఱెలను పని,medium
Job,1,17,length:abnormally_long,అతడు ఇంక మాట లాడుచుండగా మరియొకడు వచ్చికల్దీయులు మూడు సమూహములుగా వచ్చి ఒంటెలమీద ప,medium
Job,1,19,length:abnormally_long,గొప్ప సుడిగాలి అరణ్యమార్గముగా వచ్చి ఆ యింటి నాలుగు మూలలను కొట్టగా అది ¸యౌవనుల మీ,medium
Job,2,3,length:abnormally_long,అందుకు యెహోవానీవు నా సేవకుడైన యోబు సంగతి ఆలోచించితివా? అతడు యథార్థవర్తనుడును న్య,medium
Job,2,10,length:abnormally_long,అందుకతడు మూర్ఖురాలు మాటలాడునట్లు నీవు మాటలాడుచున్నావు; మనము దేవునివలన మేలు అనుభవ,medium
Job,2,11,length:abnormally_long,"తేమానీయుడైన ఎలీఫజు, షూహీయుడైన బిల్దదు నయమాతీయుడైన జోఫరు అను యోబు ముగ్గురు స్నేహి",medium
Job,3,3,length:abnormally_long,నా తల్లి గర్భద్వారములను అది మూయనందుకును నా నేత్రములకు అది బాధను మరుగు చేయనందుకున,medium
Job,4,16,length:abnormally_long,అది నిలువబడగా దాని రూపమును నేను గురుతుపట్టలేక పోతిని ఒక రూపము నా కన్నులయెదుట నుం,medium
Job,8,21,merged_word,అవమానభరితులగుదురుదుష్టుల,medium
Job,9,27,merged_word,మరచిపోయెదననియుదుఃఖముఖుడనై,medium
Job,10,17,length:abnormally_long,సింహము వేటాడునట్లు నీవు నన్ను వేటాడుచుందువుఎడతెగక నామీదికి క్రొత్త సాక్షులను పిల,medium
Job,10,22,length:abnormally_long,కటికచీకటియై గాఢాంధకారమయమైన దేశమునకుభ్రమ పుట్టించు మరణాంధకార దేశమునకు వెలుగే చీకట,medium
Job,12,3,length:abnormally_long,అయినను మీకున్నట్టు నాకును వివేచనాశక్తి కలిగియున్నది నేను మీకంటె తక్కువజ్ఞానము కల,medium
Job,14,13,length:abnormally_long,నీవు పాతాళములో నన్ను దాచినయెడల ఎంతోమేలునీ కోపము చల్లారువరకు నన్ను చాటున నుంచినయె,medium
Job,21,19,merged_word,చెప్పుచున్నారుచేసినవారు,medium
Job,22,29,merged_word,చూచెదనందువువినయముగలవానిని,medium
Job,31,22,length:abnormally_long,"నేనాలాగు చేయలేదు, నా బాల్యము మొదలుకొని దిక్కు లేనివాడు తండ్రిభావముతో నన్ను భావిం",medium
Job,31,34,length:abnormally_long,మహా సమూహమునకు భయపడియు కుటుంబముల తిరస్కారమునకు జడిసియు నేను మౌనముగానుండి ద్వారము ,medium
Psalms,7,5,length:abnormally_long,శత్రువు నన్ను తరిమి పట్టుకొననిమ్మునా ప్రాణమును నేలకు అణగద్రొక్క నిమ్మునా అతిశయాస,medium
Psalms,7,7,merged_word,చుట్టుకొనునప్పుడువారికి,medium
Psalms,9,2,merged_word,సంతోషించిహర్షించుచున్నాను,medium
Psalms,10,14,length:abnormally_long,"నీవు దీనిని చూచి యున్నావు గదా, వారికి ప్రతికారము చేయుటకై నీవు చేటును పగను కనిపెట",medium
Psalms,12,5,length:abnormally_long,బాధపడువారికి చేయబడిన బలాత్కారమును బట్టియుదరిద్రుల నిట్టూర్పులనుబట్టియు నేనిప్పుడ,medium
Psalms,17,6,merged_word,మొఱ్ఱపెట్టుకొనియున్నాను,medium
Psalms,17,9,length:abnormally_long,ఒకడు తన కనుపాపను కాపాడుకొనునట్లు నన్నుకాపాడుమునన్ను లయపరచగోరు దుష్టులను పోగొట్టి,medium
Psalms,17,10,merged_word,కఠినపరచుకొనియున్నారువారి,medium
Psalms,17,14,length:abnormally_long,లోకులచేతిలోనుండి ఈ జీవితకాలములోనే తమ పాలు పొందిన యీ లోకుల చేతిలోనుండినీ హస్తబలము,medium
Psalms,18,6,length:abnormally_long,నా శ్రమలో నేను యెహోవాకు మొఱ్ఱపెట్టితిని నా దేవునికి ప్రార్థన చేసితిని ఆయన తన ఆలయ,medium
Psalms,18,48,length:abnormally_long,ఆయన నా శత్రువుల చేతిలోనుండి నన్ను విడి పించును. నా మీదికి లేచువారికంటె ఎత్తుగా న,medium
Psalms,27,4,length:abnormally_long,యెహోవాయొద్ద ఒక్క వరము అడిగితిని దానిని నేను వెదకుచున్నాను. యెహోవా ప్రసన్నతను చూచ,medium
Psalms,27,6,length:abnormally_long,ఇప్పుడు నన్ను చుట్టుకొనియున్న నా శత్రువుల కంటె ఎత్తుగా నా తలయెత్తబడును. ఆయన గుడా,medium
