Book,Chapter,Verse,Original XML Text,SQLite Text,Reason for Change,Evidence from Official Source
Genesis,9,27,యాఫెతుకు దేవుడు ఇంకా ఎక్కువ భూమిని ఇచ్చును గాక! షేము గుడారాలలో దేవుడు  నివసించు గాక! కనాను వారికి బానిస అవును గాక!”,యాఫెతుకు దేవుడు ఇంకా ఎక్కువ భూమిని ఇచ్చును గాక! షేము గుడారాలలో దేవుడు నివసించు గాక! కనాను వారికి బానిస అవును గాక!”,Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,13,14,"లోతు వెళ్లపోయిన తర్వాత అబ్రాముతో యెహోవా ఇలా అన్నాడు:  “నీ చుట్టు చూడు ఉత్తరం, దక్షిణం, తూర్పు, పడమర చూడు.","లోతు వెళ్లపోయిన తర్వాత అబ్రాముతో యెహోవా ఇలా అన్నాడు: “నీ చుట్టు చూడు ఉత్తరం, దక్షిణం, తూర్పు, పడమర చూడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,19,9,"“దారిలోనుంచి తప్పుకో” అంటూ ఇంటి చుట్టూ ఉన్నవాళ్లంతా అరిచారు. “ఈ లోతు ఒక యాత్రికుడుగా మన పట్టణం వచ్చాడు.  ఇప్పుడు మనకే నీతులు చెబుతున్నాడు” - అని వాళ్లలో వాళ్లు చెప్పుకొన్నారు. అప్పుడు వాళ్లు లోతుతో, “వాళ్లకు చేసే వాటికంటే ఎక్కువ కీడు నీకు చేస్తాం” అని చెప్పారు కనుక ఆ మనుష్యులు లోతు దగ్గరకు మరింత సమీపంగా వెళ్లి, తలుపు బద్దలు కొట్టడానికి సిద్ధమయ్యారు.","“దారిలోనుంచి తప్పుకో” అంటూ ఇంటి చుట్టూ ఉన్నవాళ్లంతా అరిచారు. “ఈ లోతు ఒక యాత్రికుడుగా మన పట్టణం వచ్చాడు. ఇప్పుడు మనకే నీతులు చెబుతున్నాడు” - అని వాళ్లలో వాళ్లు చెప్పుకొన్నారు. అప్పుడు వాళ్లు లోతుతో, “వాళ్లకు చేసే వాటికంటే ఎక్కువ కీడు నీకు చేస్తాం” అని చెప్పారు కనుక ఆ మనుష్యులు లోతు దగ్గరకు మరింత సమీపంగా వెళ్లి, తలుపు బద్దలు కొట్టడానికి సిద్ధమయ్యారు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,19,16,"కాని, లోతు కలవరపడి, వెళ్లిపోయేందుకు త్వరపడలేదు. కనుక ఆ ఇద్దరు మనుష్యులు, (దేవదూతలు) లోతు, అతని భార్య, అతని యిద్దరు కుమార్తెల చేతులు పట్టుకొన్నారు. లోతును అతని కుటుంబాన్ని ఆ ఇద్దరు మనుష్యులు ఆ పట్టణంలోనుంచి క్షేమంగా బయటకు నడిపించారు. లోతు, అతని కుటుంబం యెడల  యెహోవా దయ చూపెట్టాడు.","కాని, లోతు కలవరపడి, వెళ్లిపోయేందుకు త్వరపడలేదు. కనుక ఆ ఇద్దరు మనుష్యులు, (దేవదూతలు) లోతు, అతని భార్య, అతని యిద్దరు కుమార్తెల చేతులు పట్టుకొన్నారు. లోతును అతని కుటుంబాన్ని ఆ ఇద్దరు మనుష్యులు ఆ పట్టణంలోనుంచి క్షేమంగా బయటకు నడిపించారు. లోతు, అతని కుటుంబం యెడల యెహోవా దయ చూపెట్టాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,20,17,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,20,18,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,23,17,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,23,18,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,24,29,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,24,30,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,25,5,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,25,6,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,27,41,"ఆ తరువాత తన తండ్రి అతణ్ణి ఆశీర్వదించడంవల్ల యాకోబును ఏశావు అసహ్యించుకొన్నాడు. ఏశావు “త్వరలోనే  నా తండ్రి చనిపోతాడు, నేను అతని కోసం దుఃఖిస్తాను. కాని ఆ తర్వాత యాకోబును నేను చంపేస్తాను” అని తనలో తాను అనుకొన్నాడు.","ఆ తరువాత తన తండ్రి అతణ్ణి ఆశీర్వదించడంవల్ల యాకోబును ఏశావు అసహ్యించుకొన్నాడు. ఏశావు “త్వరలోనే నా తండ్రి చనిపోతాడు, నేను అతని కోసం దుఃఖిస్తాను. కాని ఆ తర్వాత యాకోబును నేను చంపేస్తాను” అని తనలో తాను అనుకొన్నాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,30,23,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,30,24,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,31,2,అప్పుడు లాబాను ఇదివరలో ఉన్నంత స్నేహంగా  తనతో యిప్పుడు లేనట్టు యాకోబు గమనించాడు.,అప్పుడు లాబాను ఇదివరలో ఉన్నంత స్నేహంగా తనతో యిప్పుడు లేనట్టు యాకోబు గమనించాడు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,31,14,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,31,15,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,31,47,ఆ స్థలానికి యగర్  శాహదూత అని లాబాను పేరు పెట్టాడు. కానీ యాకోబు ఆ స్థలానికి గలేదు అని పేరు పెట్టాడు.,ఆ స్థలానికి యగర్ శాహదూత అని లాబాను పేరు పెట్టాడు. కానీ యాకోబు ఆ స్థలానికి గలేదు అని పేరు పెట్టాడు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,32,16,"“ఒక్కొక్క రకం జంతువుల మందను యాకోబు తన సేవకులకు అప్పగించాడు. అప్పుడు యాకోబు తన సేవకులతో ఒక్కో రకం జంతువుల మందను వేరు చేయండి నాకు ముందుగా నడుస్తూ,  ఒక్కో మందకు మధ్య ఎడం ఉంచండి” అన్నాడు.","“ఒక్కొక్క రకం జంతువుల మందను యాకోబు తన సేవకులకు అప్పగించాడు. అప్పుడు యాకోబు తన సేవకులతో ఒక్కో రకం జంతువుల మందను వేరు చేయండి నాకు ముందుగా నడుస్తూ, ఒక్కో మందకు మధ్య ఎడం ఉంచండి” అన్నాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,35,14,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,35,15,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,6,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,7,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,8,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,40,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,41,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,42,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,36,43,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,37,33,"తండ్రి అంగీని చూచి, అది యోసేపుదేనని తెలుసుకొన్నాడు. “అవును, అది అతనిదే, ఒకవేళ అడవి మృగం ఏదైనా అతణ్ణి చంపివేసిందేమో. నా కుమారుడు యోసెపును అడవి మృగం ఏదో భక్షించి వేసింది!”  అన్నాడు ఆ తండ్రి.","తండ్రి అంగీని చూచి, అది యోసేపుదేనని తెలుసుకొన్నాడు. “అవును, అది అతనిదే, ఒకవేళ అడవి మృగం ఏదైనా అతణ్ణి చంపివేసిందేమో. నా కుమారుడు యోసెపును అడవి మృగం ఏదో భక్షించి వేసింది!” అన్నాడు ఆ తండ్రి.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,38,1,"సుమారు  అదే సమయంలో యూదా తన సోదరులను విడిచి, హీరా అనే ఒకతని దగ్గర ఉండేందుకు వెళ్లాడు. హీరా అదుల్లాము నివాసి.","సుమారు అదే సమయంలో యూదా తన సోదరులను విడిచి, హీరా అనే ఒకతని దగ్గర ఉండేందుకు వెళ్లాడు. హీరా అదుల్లాము నివాసి.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,38,8,"అప్పుడు యూదా అతని సోదరుడైన ఓనానుతో “పోయి, చచ్చిన నీ సోదరుని భార్యతో శయనించు. ఆమెకు భర్తలా ఉండు.  పిల్లలు పుడితే వారు నీ సోదరుడైన ఏరు పిల్లలుగా పరిగణించ బడతారు” అని చెప్పాడు.","అప్పుడు యూదా అతని సోదరుడైన ఓనానుతో “పోయి, చచ్చిన నీ సోదరుని భార్యతో శయనించు. ఆమెకు భర్తలా ఉండు. పిల్లలు పుడితే వారు నీ సోదరుడైన ఏరు పిల్లలుగా పరిగణించ బడతారు” అని చెప్పాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,39,6,కనుక  పోతీఫరు తన ఇంటిలో అన్ని విషయాల బాధ్యత యోసేపునే తీసుకోనిచ్చాడు. పోతీఫరు తాను భుజించే భోజనం విషయం తప్ప మరి దేనిగూర్చీ చింతించలేదు. యోసేపు చాలా అందగాడు. చూడ చక్కని వాడు.,కనుక పోతీఫరు తన ఇంటిలో అన్ని విషయాల బాధ్యత యోసేపునే తీసుకోనిచ్చాడు. పోతీఫరు తాను భుజించే భోజనం విషయం తప్ప మరి దేనిగూర్చీ చింతించలేదు. యోసేపు చాలా అందగాడు. చూడ చక్కని వాడు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Genesis,43,21,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Genesis,43,22,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,1,20,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,1,21,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,5,23,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,7,25,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,9,9,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,10,29,"“మోషే ఫరోతో, నీవు చెప్పింది నిజమే. నిన్ను చూడ్డానికి నేను మళ్లీ రాను”  అని చెప్పాడు.","“మోషే ఫరోతో, నీవు చెప్పింది నిజమే. నిన్ను చూడ్డానికి నేను మళ్లీ రాను” అని చెప్పాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,12,19,"ఏడు రోజుల పాటు మీ ఇళ్లలో ఎక్కడా పులిసిన పదార్థం ఉండకూడదు. ఇశ్రాయేలు పౌరుడేకాని, విదేశీయుడేగాని ఏ వ్యక్తిగాని ఈ సందర్భంలో పులిసిన పదార్థం తింటే,  మిగిలిన ఇశ్రాయేలీయులందరినుండి ఆ వ్యక్తి వేరు చేయబడాలి.","ఏడు రోజుల పాటు మీ ఇళ్లలో ఎక్కడా పులిసిన పదార్థం ఉండకూడదు. ఇశ్రాయేలు పౌరుడేకాని, విదేశీయుడేగాని ఏ వ్యక్తిగాని ఈ సందర్భంలో పులిసిన పదార్థం తింటే, మిగిలిన ఇశ్రాయేలీయులందరినుండి ఆ వ్యక్తి వేరు చేయబడాలి.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,18,8,"ఇశ్రాయేలు ప్రజలకోసం యెహోవా చేసినదంతా మోషే యిత్రోకు చెప్పాడు. ఫరోకు, ఈజిప్టు ప్రజలకు యెహోవా చేసిన విషయాల్ని గూర్చి మోషే అతనితో చెప్పాడు. దారిలో వారికి కలిగిన సమస్యలన్నిటిని  గూర్చీ మోషే చెప్పాడు. కష్టం వచ్చినప్పుడల్లా ఆ ప్రజల్ని యెహోవా ఏ విధంగా రక్షించిందీ, మోషే తన మామగారితో చెప్పాడు.","ఇశ్రాయేలు ప్రజలకోసం యెహోవా చేసినదంతా మోషే యిత్రోకు చెప్పాడు. ఫరోకు, ఈజిప్టు ప్రజలకు యెహోవా చేసిన విషయాల్ని గూర్చి మోషే అతనితో చెప్పాడు. దారిలో వారికి కలిగిన సమస్యలన్నిటిని గూర్చీ మోషే చెప్పాడు. కష్టం వచ్చినప్పుడల్లా ఆ ప్రజల్ని యెహోవా ఏ విధంగా రక్షించిందీ, మోషే తన మామగారితో చెప్పాడు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,19,12,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,19,13,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,22,2,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,22,3,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,27,1,“తుమ్మకర్రతో ఒక బలిపీఠం నిర్మించు. బలిపీఠం చతురస్రంగా ఉండాలి. అది 71/2  అంగుళాల పొడవు 71/2  అంగుళాల వెడల్పు 4 1/2  అంగుళాల ఎత్తు ఉండాలి.,“తుమ్మకర్రతో ఒక బలిపీఠం నిర్మించు. బలిపీఠం చతురస్రంగా ఉండాలి. అది 71/2 అంగుళాల పొడవు 71/2 అంగుళాల వెడల్పు 4 1/2 అంగుళాల ఎత్తు ఉండాలి.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,28,36,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,28,37,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,29,39,"ఒక గొర్రెపిల్లను ఉదయం, మరో గొర్రెప్లిను ఉదయం, అర్పణ పవిత్రం చేయాలి.  గనుక వపొట్టేలు మాంసాన్ని ఒక పవిత్ర ల్లను సాయంత్రం అర్పించాలి.","ఒక గొర్రెపిల్లను ఉదయం, మరో గొర్రెప్లిను ఉదయం, అర్పణ పవిత్రం చేయాలి. గనుక వపొట్టేలు మాంసాన్ని ఒక పవిత్ర ల్లను సాయంత్రం అర్పించాలి.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,29,40,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,29,41,[This verse may not be a part of this translation],ఈ వచనం ఈ అనువాదంలో లేదు,Placeholder standardization for omitted verses,Verified against publisher notation style for non-extant verses
Exodus,30,15,ధనికులు అరతులం కంటె ఎక్కువ చెల్లించకూడదు. ప్రజలందరూ ఒకే అర్పణ యెహోవాకు చెల్లించాలి. ఇది మీ  ప్రాణం కోసం చెల్లించే అర్పణ.,ధనికులు అరతులం కంటె ఎక్కువ చెల్లించకూడదు. ప్రజలందరూ ఒకే అర్పణ యెహోవాకు చెల్లించాలి. ఇది మీ ప్రాణం కోసం చెల్లించే అర్పణ.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,32,14,"కనుక యెహోవా తన ప్రజలను గూర్చి సంతాపపడ్డాడు. ఆయన చేస్తానన్న కీడును వారికి చేయలేదు. అంటే,  ప్రజలను ఆయన నాశనం చేయలేదు.","కనుక యెహోవా తన ప్రజలను గూర్చి సంతాపపడ్డాడు. ఆయన చేస్తానన్న కీడును వారికి చేయలేదు. అంటే, ప్రజలను ఆయన నాశనం చేయలేదు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,33,5,“మీరు మొండివారు నేను మీతో కొంచెంసేపు ప్రయాణం చేసినా సరే నేను మిమ్మల్ని నాశనం చేయాల్సి వస్తుంది. కనుక మీ నగలన్నీ తీసి వేయండి. అప్పుడు మీ విషయం ఏమి చేయాలో నేను ఆలోచిస్తాను”  అని మోషేతో యెహోవా చెప్పినందువల్ల వారు నగలు ధరించలేదు.,“మీరు మొండివారు నేను మీతో కొంచెంసేపు ప్రయాణం చేసినా సరే నేను మిమ్మల్ని నాశనం చేయాల్సి వస్తుంది. కనుక మీ నగలన్నీ తీసి వేయండి. అప్పుడు మీ విషయం ఏమి చేయాలో నేను ఆలోచిస్తాను” అని మోషేతో యెహోవా చెప్పినందువల్ల వారు నగలు ధరించలేదు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,35,30,"అప్పుడు ప్రజలతో మోషే ఇలా అన్నాడు: “చూడండి, యూదా గోత్రానికి చెందిన ఊర్  కుమారుడు బెసలేలును యెహోవా ఏర్పరచుకొన్నాడు. (హోరు కుమారుడు ఊర్).","అప్పుడు ప్రజలతో మోషే ఇలా అన్నాడు: “చూడండి, యూదా గోత్రానికి చెందిన ఊర్ కుమారుడు బెసలేలును యెహోవా ఏర్పరచుకొన్నాడు. (హోరు కుమారుడు ఊర్).",Whitespace normalization,Derived from normalization rule (spacing normalization)
Exodus,40,4,తర్వాత బల్లను లోపలికి తీసుకురా. బల్లమీద ఉండాల్సిన  వస్తువులను దాని మీద ఉంచు. తర్వాత దీపస్తంభాన్ని గుడారంలో ఉంచు.,తర్వాత బల్లను లోపలికి తీసుకురా. బల్లమీద ఉండాల్సిన వస్తువులను దాని మీద ఉంచు. తర్వాత దీపస్తంభాన్ని గుడారంలో ఉంచు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,1,4,ఈ వ్యక్తి ఆ గిత్త తలమీద తన చేయి పెట్టాలి. ఆ వ్యక్తి  పాపానికి ప్రాయశ్చిత్తంగా ఆ దహనబలి అర్పణను యెహోవా అంగీకరిస్తాడు.,ఈ వ్యక్తి ఆ గిత్త తలమీద తన చేయి పెట్టాలి. ఆ వ్యక్తి పాపానికి ప్రాయశ్చిత్తంగా ఆ దహనబలి అర్పణను యెహోవా అంగీకరిస్తాడు.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,1,14,"“ఒక వ్యక్తి ఒక పక్షిని  యెహోవాకు దహన బలిగా అర్పించాలను కొంటే, తెల్ల గువ్వ, లేక పావురం పిల్ల మాత్రమే యివ్వాలి.","“ఒక వ్యక్తి ఒక పక్షిని యెహోవాకు దహన బలిగా అర్పించాలను కొంటే, తెల్ల గువ్వ, లేక పావురం పిల్ల మాత్రమే యివ్వాలి.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,2,3,"మిగిలిపోయిన ధాన్యార్పణ అహరోనుకు, అతని కుమారులకు చెందుతుంది. యెహోవాకు  అర్పించే హోమములు అన్నింటిలో ఇది అతి పవిత్రం.","మిగిలిపోయిన ధాన్యార్పణ అహరోనుకు, అతని కుమారులకు చెందుతుంది. యెహోవాకు అర్పించే హోమములు అన్నింటిలో ఇది అతి పవిత్రం.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,3,5,అప్పుడు ఆ కొవ్వును అహరోను కుమారులు బలిపీఠం మీద దహించాలి. దీనిని వారు అగ్నిలో కట్టెలమీద ఉన్న దహనబలి వేస్తారు. ఇది యెహోవాకు  ఇష్టమైన సువాసనను యిచ్చే హోమం.,అప్పుడు ఆ కొవ్వును అహరోను కుమారులు బలిపీఠం మీద దహించాలి. దీనిని వారు అగ్నిలో కట్టెలమీద ఉన్న దహనబలి వేస్తారు. ఇది యెహోవాకు ఇష్టమైన సువాసనను యిచ్చే హోమం.,Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,3,8,"సన్నిధి గుడారం ఎదుట అతడు దాని తలమీద చేయి పెట్టి, దానిని  వధించాలి. దాని రక్తాన్ని అహరోను కుమారులు బలిపీఠం చుట్టూ చిలకరిస్తారు.","సన్నిధి గుడారం ఎదుట అతడు దాని తలమీద చేయి పెట్టి, దానిని వధించాలి. దాని రక్తాన్ని అహరోను కుమారులు బలిపీఠం చుట్టూ చిలకరిస్తారు.",Whitespace normalization,Derived from normalization rule (spacing normalization)
Leviticus,3,9,"అప్పుడు అతడు సమాధాన బలిలో నుంచి కొంత యెహోవాకు  హోమం చేయాలి. కొవ్వు, కొవ్విన తోకమొత్తం, దాని లోపలి అవయవాల మీద చుట్టూ ఉండే కొవ్వు అతడు తీసుకొని రావాలి (వెన్నుపూస నుండి ఉండే తోకను అతడు కోసి వేయాలి).","అప్పుడు అతడు సమాధాన బలిలో నుంచి కొంత యెహోవాకు హోమం చేయాలి. కొవ్వు, కొవ్విన తోకమొత్తం, దాని లోపలి అవయవాల మీద చుట్టూ ఉండే కొవ్వు అతడు తీసుకొని రావాలి (వెన్నుపూస నుండి ఉండే తోకను అతడు కోసి వేయాలి).",Whitespace normalization,Derived from normalization rule (spacing normalization)
